"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-3p",235.965315538622,0.241509196337453,0.728589665565767,0.33147491345477,0.740285787089059,0.994751686136818
"hsa-let-7a-5p/7c-5p",75748.8847360441,-0.145304637890987,0.27549217816729,-0.527436527808613,0.597890482901747,0.994751686136818
"hsa-let-7b-3p",130.610664889777,0.159317519230499,0.803632932456981,0.198246628275189,0.842852107290192,0.994751686136818
"hsa-let-7b-5p",18252.3186959866,-0.469863037517802,0.317970371616857,-1.47769440004294,0.13948959396236,0.994751686136818
"hsa-let-7d-3p",2622.39453089345,-0.119334722091193,0.455539723038693,-0.26196337236008,0.793349680923219,0.994751686136818
"hsa-let-7d-5p",4553.66905723969,0.331120274373148,0.444932775884483,0.744202927543184,0.456753717203191,0.994751686136818
"hsa-let-7e-5p",2408.486649089,0.0691967940001727,0.459624462768423,0.150550720436821,0.880330137568537,0.994751686136818
"hsa-let-7f-1-3p",23.4217859076502,0.414540797114956,1.27669501045352,0.324698376449124,0.745409363546105,0.994751686136818
"hsa-let-7f-2-3p",110.236987427658,0.728325704353504,1.04868359467397,0.694514253920353,0.487359764973127,0.994751686136818
"hsa-let-7f-5p",139926.885611733,0.00661038833174679,0.355854504659452,0.018576098504283,0.985179270176801,0.996993550002206
"hsa-let-7g-3p",39.917388888606,-0.0950824109130124,0.809919929432544,-0.117397297507706,0.90654522554138,0.994751686136818
"hsa-let-7g-5p",30393.4420907613,-0.125928629313933,0.330239410133942,-0.381325261157829,0.702961911466456,0.994751686136818
"hsa-let-7i-3p",317.550821603358,0.152842909300769,0.539168927867689,0.283478704726612,0.776809903609163,0.994751686136818
"hsa-let-7i-5p",146752.613116199,0.0647933321904043,0.273590929122864,0.236825586279971,0.812792101143388,0.994751686136818
"hsa-miR-100-5p",1148.94453551186,-0.16769326303679,0.603005629772364,-0.278095683949243,0.780938908825756,0.994751686136818
"hsa-miR-101-3p",272091.065837342,0.00592602950138839,0.313616515045813,0.0188957826424502,0.984924243905271,0.996993550002206
"hsa-miR-101-5p",204.761727135821,-0.122593499388068,0.533706137622069,-0.229702247634408,0.818323148245988,0.994751686136818
"hsa-miR-10399-3p",266.583186407226,-0.652881327364833,0.953579836677496,-0.684663519773688,0.49355627413735,0.994751686136818
"hsa-miR-10399-5p",129.476021899619,-0.192861683263839,0.50378876273748,-0.382822519136532,0.701851363274688,0.994751686136818
"hsa-miR-103a-3p/107",264012.635653106,0.0784662240748784,0.368006213004177,0.213219835160739,0.83115549775812,0.994751686136818
"hsa-miR-10527-5p",23.6514832276064,-0.15360724194962,0.926213206283305,-0.165844365970566,0.868279430551381,0.994751686136818
"hsa-miR-106a-3p",21.4292972446989,0.182335667892735,0.846368620965275,0.215432925295343,0.829429801936737,0.994751686136818
"hsa-miR-106a-5p/17-5p",1449.8986006931,-0.0666236648401827,0.534196358790575,-0.124717557025322,0.900747157431625,0.994751686136818
"hsa-miR-106b-3p",24288.805913002,-0.378990379916048,0.470625637103609,-0.805290553758365,0.420652031576187,0.994751686136818
"hsa-miR-106b-5p",4806.58173885107,0.0112481551522866,0.420598858466295,0.0267431899204452,0.97866456486366,0.996993550002206
"hsa-miR-10a-3p",14.3798438464895,0.00268759852545354,0.820935760608844,0.00327382318375349,0.997387871692982,0.997387871692982
"hsa-miR-10a-5p",41056.918167266,-0.300708728368081,0.39678467890898,-0.757863759243239,0.448532547865374,0.994751686136818
"hsa-miR-10b-3p",6.11526886628589,1.21252813667909,1.16869109546554,1.03750951931065,0.299498461620717,0.994751686136818
"hsa-miR-10b-5p",211340.152437423,-0.394299933286169,0.47608058906976,-0.828220982621059,0.407545362885109,0.994751686136818
"hsa-miR-11400",29.6639447937546,1.24627599627843,1.87518783543027,0.664613951056515,0.506297443756058,0.994751686136818
"hsa-miR-11401",84.105113444716,-0.0853707091163804,0.693735506945047,-0.123059448827005,0.902060022293559,0.994751686136818
"hsa-miR-1180-3p",162.863928299368,-0.132217537222688,0.470552969145447,-0.280983323647501,0.778723190580844,0.994751686136818
"hsa-miR-1185-1-3p/1185-2-3p",5.84963146987384,0.743061044483624,1.97983646963721,0.375314353422221,0.707426692594956,0.994751686136818
"hsa-miR-12136",15.3937976919713,1.02867688750631,0.925561790950078,1.11140811728019,0.266392719919543,0.994751686136818
"hsa-miR-122-5p",1489.95093525825,0.633752171931638,0.781331287442184,0.811118384886813,NA,NA
"hsa-miR-1224-5p",12.7635054828264,-1.16814031355678,1.5564298473249,-0.750525515534488,0.45293826233595,0.994751686136818
"hsa-miR-1255a",13.3629289334825,0.988719406321816,1.34813420515669,0.733398353472459,0.463315503154168,0.994751686136818
"hsa-miR-1255b-5p",71.9715698380387,-0.188606342300105,0.494473175895356,-0.381428865091802,0.702885045768497,0.994751686136818
"hsa-miR-1256-3p",2.99335613101672,2.30368291066542,1.88388861359725,1.22283392661235,0.221392428533804,0.994751686136818
"hsa-miR-125a-3p",6.69090697248832,-0.432198119177659,2.06658152386262,-0.209136738225474,0.834341495818006,0.994751686136818
"hsa-miR-125a-5p",768.914229454985,-0.169941354399028,0.419627738088183,-0.404981222579037,0.685491313519191,0.994751686136818
