"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-3p",235.965315538622,1.05552721781705,0.790428564350329,1.33538597341128,0.181750053150371,0.689340291678433
"hsa-let-7a-5p/7c-5p",75748.8847360441,-0.0825782979499167,0.298821280731627,-0.276346777403985,0.782281730981573,0.936050106055302
"hsa-let-7b-3p",130.610664889777,1.5517105070915,0.87126979416067,1.78097590148449,0.0749163876639024,0.495240069625379
"hsa-let-7b-5p",18252.3186959866,0.419563745588757,0.344894125367716,1.21650012200536,0.223794464595266,0.7588773035606
"hsa-let-7d-3p",2622.39453089345,0.65593181838402,0.494139586038356,1.32742212305392,0.184369085495012,0.693030223155356
"hsa-let-7d-5p",4553.66905723969,-0.220423064130957,0.482727959391355,-0.456619633983655,0.647944464396712,0.906261194388757
"hsa-let-7e-5p",2408.486649089,0.938983600871451,0.498558095129172,1.8833985648717,0.0596463747039694,0.44841292411377
"hsa-let-7f-1-3p",23.4217859076502,1.56366222131229,1.38416945133475,1.12967543085455,0.25861301361968,0.7588773035606
"hsa-let-7f-2-3p",110.236987427658,2.27154488933211,1.13688270542167,1.99804683323914,0.0457115829571393,0.377344635783444
"hsa-let-7f-5p",139926.885611733,-0.409815809593722,0.385983559923696,-1.06174420919569,0.288351823572844,0.761854250630399
"hsa-let-7g-3p",39.917388888606,0.620947053925951,0.87998010204002,0.705637607585031,0.480413530598397,0.831734333203143
"hsa-let-7g-5p",30393.4420907613,-0.146316049402157,0.358212862089463,-0.408461182964488,0.682935123009424,0.922878730131748
"hsa-let-7i-3p",317.550821603358,-0.14303601341196,0.58615575822735,-0.244023898774839,0.807212310773334,0.936050106055302
"hsa-let-7i-5p",146752.613116199,-0.289245230432229,0.2967569621675,-0.974687260307542,0.329715414211117,0.775475918340114
"hsa-miR-100-5p",1148.94453551186,3.06506784779872,0.653561250368063,4.68979433231787,2.73479789721139e-06,0.000383783304908665
"hsa-miR-101-3p",272091.065837342,-0.144355399701803,0.340167188564101,-0.42436603104241,0.671298890036823,0.920576002298054
"hsa-miR-101-5p",204.761727135821,-0.163667765001495,0.580569546080941,-0.281908973879723,0.778013308344862,0.936050106055302
"hsa-miR-10399-3p",266.583186407226,0.613456607030292,1.03423725587914,0.59314881913515,0.553081561262193,0.867142426925174
"hsa-miR-10399-5p",129.476021899619,-0.194796485732787,0.549047976758836,-0.354789552058306,0.722747256119177,0.936050106055302
"hsa-miR-103a-3p/107",264012.635653106,-0.669382338161173,0.399162306773116,-1.67696780683666,0.0935487772847824,0.495240069625379
"hsa-miR-10527-5p",23.6514832276064,-1.00004756888512,1.02147306212204,-0.979024906254098,0.327567673408714,0.775475918340114
"hsa-miR-106a-3p",21.4292972446989,-1.51460184930416,0.953214999800508,-1.5889404275228,0.112073842844312,0.527585173113458
"hsa-miR-106a-5p/17-5p",1449.8986006931,-0.560819122121916,0.579791780891624,-0.967276771773945,0.333405692398859,0.775490588397347
"hsa-miR-106b-3p",24288.805913002,0.497983082597071,0.510468273400605,0.975541690925548,0.329291631932794,0.775475918340114
"hsa-miR-106b-5p",4806.58173885107,-0.394818319004754,0.456331336019805,-0.86520097972763,0.386928487757052,0.784418407485749
"hsa-miR-10a-3p",14.3798438464895,-0.535724564382896,0.914833702167684,-0.58559775739952,0.558145855773451,0.867142426925174
"hsa-miR-10a-5p",41056.918167266,-0.0713073775041937,0.430382540582962,-0.16568371339508,0.868405863726034,0.957158324280892
"hsa-miR-10b-3p",6.11526886628589,0.715799891580781,1.2963665695532,0.552158554834909,0.580839726989182,NA
"hsa-miR-10b-5p",211340.152437423,-0.172790061563011,0.516383426497969,-0.334615815877062,0.737914912697483,0.936050106055302
"hsa-miR-11400",29.6639447937546,-1.14848457827918,2.04760363544509,-0.560892039063768,0.574871137395142,0.867142426925174
"hsa-miR-11401",84.105113444716,-0.405257026297615,0.757334476601225,-0.535109702276242,0.592574001276289,0.875346156271289
"hsa-miR-1180-3p",162.863928299368,-0.1561519139792,0.512947881747083,-0.304420623489762,0.760807457648106,0.936050106055302
"hsa-miR-1185-1-3p/1185-2-3p",5.84963146987384,-0.451873529530416,2.17656046506442,-0.207608994458623,0.835534280823384,NA
"hsa-miR-12136",15.3937976919713,0.629883747895497,1.01618312169957,0.619852597868398,0.535354836207194,0.866116376332988
"hsa-miR-122-5p",1489.95093525825,6.12538112132416,0.846147470015605,7.23914132983367,NA,NA
"hsa-miR-1224-5p",12.7635054828264,-0.357107314677166,1.69153781264299,-0.211114000531383,0.83279831558973,0.937454788404482
"hsa-miR-1255a",13.3629289334825,-0.922257591983268,1.49509384917354,-0.616855986995784,0.537329719573781,0.866116376332988
