"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-100-5p",1148.94453551186,3.06506784779872,0.653561250368063,4.68979433231787,2.73479789721139e-06,0.000383783304908665
"hsa-miR-125b-5p",333.329632049035,2.69387176474873,0.711256964836893,3.78748033119999,0.000152182727701127,0.00915270405173919
"hsa-miR-1468-5p",327.466627915635,3.12852405335302,0.597727107220021,5.23403408606232,1.65849847391361e-07,6.98227857517632e-05
"hsa-miR-146a-5p",5515.39891804872,1.75204142316325,0.505296361614107,3.46735412375932,0.000525608943964371,0.0184401137840834
"hsa-miR-152-3p",235.529151002066,2.54028646533173,0.707237524877174,3.59184344152681,0.000328347094145392,0.0155514154624088
"hsa-miR-193b-3p",95.2340931518201,5.80607459423966,1.64261467325027,3.53465404199215,0.000408309363819352,0.0171898242167947
"hsa-miR-193b-5p",149.830587342619,5.06782339514117,0.99847853290575,5.07554567086475,3.86385531897875e-07,8.13341544645027e-05
"hsa-miR-197-5p",148.857495577418,2.62357912813104,0.636532782814202,4.12167165457185,3.76133048589373e-05,0.00316704026912252
"hsa-miR-22-5p",223.722936424901,2.24334982841335,0.717005663274308,3.12877560571666,0.00175536304860958,0.0492671895643089
"hsa-miR-425-3p",110.095766280963,1.78746296306774,0.498094201024015,3.58860424271745,0.000332453062141755,0.0155514154624088
"hsa-miR-4753-5p",21.8873549031489,5.2570712168884,1.59143049963267,3.30336211232713,0.000955329385090233,0.0287281193659277
"hsa-miR-542-3p",230.717631589291,-2.60132009282456,0.747343014665074,-3.48075788731411,0.00049999723186395,0.0184401137840834
"hsa-miR-548p",23.1055601866098,3.49498529882458,1.02452689802232,3.41131629200863,0.000646500497425458,0.020936669955086
"hsa-miR-5588-5p",70.1214378319293,5.06212689382371,1.24966501036609,4.05078709240707,5.10456378386592e-05,0.00358170225501259
"hsa-miR-7706",1303.38827702669,2.15999301578344,0.498633507254975,4.33182484601647,1.47878564572416e-05,0.00155642189212468
