Sample name(s),Total Input Reads,Trimmed Reads (all),Trimmed Reads (unique),All miRNA Reads,Filtered miRNA Reads,Unique miRNAs,Hairpin miRNAs,mature tRNA Reads,primary tRNA Reads,snoRNA Reads,rRNA Reads,ncRNA others,mRNA Reads,Remaining Reads
182_S25_R1_001,32487975,29832838,193494,23578626,23533585,663,1682,61624,42,42588,249024,4978250,50162,870840
112_S27_R1_001,35082127,34689443,118899,31945988,31939150,641,877,49251,20,3787,85337,2169925,10812,423446
15-7p150_S32_R1_001,13954243,10889406,71177,7048205,7024522,231,138,82897,0,1531,130792,1133263,9880,2482700
192_S22_R1_001,31607126,30467741,129835,26601720,26591265,534,1336,69774,33,7662,152530,2809275,17733,807678
15-1p16_S33_R1_001,11801051,5857435,121410,1203081,1170911,326,877,151688,2,936,183199,626534,8669,3682449
121_S24_R1_001,30369638,29334697,106679,25985825,25977279,490,750,91450,44,12356,221901,2286193,17506,718672
153_S15_R1_001,26548109,26221338,107633,24181502,24175807,568,979,64290,31,4689,116625,1374124,10959,468139
124_S16_R1_001,34358446,34036973,116315,30970360,30962515,565,1063,53091,25,5827,97539,2452828,10310,445930
166_S4_R1_001,28726996,28422335,109924,25635810,25629332,545,1367,140585,58,17365,196654,1956829,14320,459347
059_S13_R1_001,42835471,42494358,146868,38984037,38975856,640,1296,63983,24,6172,122027,2764188,12056,540575
167_S23_R1_001,43116724,41137946,145951,34726565,34709811,403,6782,83663,1,41293,354879,4618107,37198,1269458
149_S3_R1_001,31365594,30954974,111290,28709040,28701215,557,1375,85295,15,8330,150120,1390171,22007,588621
093_S6_R1_001,28906182,28503698,93477,26516765,26509074,512,840,41300,22,5804,108971,1353057,8052,468887
144_S5_R1_001,25076982,24602596,90700,23208725,23203639,521,530,38313,3,3657,64129,860468,7757,419014
062_S19_R1_001,43183146,42526296,151496,30314104,30305594,693,3235,84742,27,8254,141496,11393691,14867,565880
179_S26_R1_001,27569562,26401515,134343,22386108,22374966,573,2298,195719,37,9627,219316,2377119,32611,1178680
138_S30_R1_001,37628057,37236410,140484,33272891,33264401,654,1598,82021,29,12160,134487,3227008,14988,491228
033_S21_R1_001,31597523,30490902,167812,26520367,26511534,601,2219,232862,33,15716,161860,2646753,22041,889051
6c_S47_R1_001,44650943,44360231,281063,13452951,13446664,746,42650,26048151,2047,130307,396987,588717,92116,3606305
